scene_number,location,description,cast_id,costume_notes,hair_makeup,prosthetics,key_props,props,set_dressing,extras,picture_vechiles,production,special_professionals,sfx,vfx,special_equipments,notes,timeofday,int_ext
70B,PCA / CORRIDOR,"I/E. PCA / CORRIDOR - DAY
70B
Bali is walking at a fast pace in the corridor. Arjun runs 
behind bali sir. 
ARJUN
Iske baare? 
Arjun tries to catch up with Bali Sir.
BALI
Iss baar Ranji trophy pe bada jor 
hai kammety ka. Mahesh aur Ratti ne 
paintees (35) probable khiladiyon 
ki list banayi hai. Ek maheene ki 
training ke baad, 15 ko ranji ki 
team mein chance milna hai. 
Arjun smiles.
BALI (CONT'D)
Zyada khush na ho oye. Ek maheene 
ki training mein tujhe kabhi bhi 
eliminate kar sakde ne.
Bali sir walks away.
ARJUN
(smiles)
Matlab main bhi selected hoon?
BALI
Bola na khush na ho... kabhi bhi 
nikaal sakde ne. 
Arjun walks in and hugs Bali sir. 
BALI (CONT'D)
Oye Samjh ni aa raha tujhe... itni 
bhi khush hone wali baat nai hai.
After a beat, Bali sir hugs back. 
CUT TO:
","['arjun', 'bali', 'ratti', 'mahesh']","['arjun', 'bali', 'ratti', 'mahesh']","['arjun', 'bali', 'ratti', 'mahesh']",,,,,,,,,,,,,DAY,I/E
70C,PCA / STANDS,"EXT. PCA / STANDS - DAY
70C
Bali sir sits eating his lunch from his lunch box while Arjun 
sits next to him. 
BALI
Fauja Singh. Runner. Age 84. Ed 
Earl. Kayaking. Age 40. 
(MORE)
96.
FOR AD TEAM
BALI (CONT'D)
97.
Oscar Swahn. Shooting. Age sixty. 
Har sport mein apni umar de khilaaf 
ja kar kuch kar jaane wale, hamesha 
se rahe hain. Pata hai kyun? Age is 
just a number. Khiladi te rooh se 
khiladi rehnda hai, hamesha. Pata 
nahi ye rasta kahan jaata hai 
Arjun... par safar shuru karne ke 
liye tu taan mere koi kaam ka nahi. 
Arjun listens to Bali
BALI (CONT'D)
Mujhe wo 10 saal pehle wala Arjun 
chahiye. Indian team mein khelna 
hai toh ek hi tareeka hai. Iss 
Ranji trophy  mein tune aag lagaani 
hai. 
ARJUN
Aap jo bolo, jaise bolo... main 
karunga sir. 
BALI
Haan teh chal pher. 
Close shot of Arjun.
","['arjun', 'bali']","['arjun', 'bali']","['arjun', 'bali']",,,,,,,,,,,,,DAY,EXT
71,PCA / PARKING,"EXT. PCA / PARKING - DAY
71
Suggestion shot of Viru along with Jasleen arguing. Viru is 
sitting in his maruti car with the car door open. 
VIRU
Dimaag kharaab hai tera? Uske baare 
mein article likh ditta tun?
JASLEEN
Taan ki ho gaya? Chhad de na
VIRU
Meri ijjat ka socha tune?
Arjun and Bali walk in. Viru comes out of the car. 
BALI
Ja maafi maang.
Arjun looks at Bali with a not so convincing expression. 
Arjun walks to Viru and Jasleen. After a moment, he kisses 
Jasleen on the cheek and hugs her. Everyone is taken aback, 
Arjun says
BALI (CONT'D)
97.
FOR AD TEAM
98.
ARJUN
Thank you
Viru looks at Arjun, winks.
VIRU
(angry)
Roka kyun nahi usko???
JASLEEN
Arey mujhe kya pata karnewala hai?
VIRU
Arey teh paas aa raha tha na
JASLEEN
ho gaya so ho gaya na, chhad
VIRU
Aise kaise ho gaya?
Arjun walks back to Bali
BALI
Ye kya kiya oye tuney?
Arjun takes the cigarette from Bali sir, raises his collar. 
ARJUN
(sarcastically)
Aap hi ne toh bola tha Sir. 10 saal 
pehle wala Arjun chahiye.
Bali for a second stares at Arjun and then starts chasing 
him.
BALI
Main ki bolya, tu ki kitta??? 
ARJUN
Wahi na sir!
Bali sir runs behind Arjun as he runs away.
","['jasleen', 'arjun', 'viru', 'bali']","['jasleen', 'arjun', 'viru', 'bali']","['jasleen', 'arjun', 'viru', 'bali']",,,,,,,,,,,,,DAY,EXT
72,PCA / VARIOUS PLACES,"EXT. PCA / VARIOUS PLACES - DAY
72
MONTAGE on BGM
Wide top shot of the green cricket ground with around 35 
players in white dress practicing, batting, fielding, and run-
ups, trainers all around with whistles,
98.
FOR AD TEAM
99.
Arjun, Viru, and many other players seen practicing all 
through the day…..
Few people with papers observing players and writing 
something,.. Montage shots, with background music.
","['arjun', 'viru']","['arjun', 'viru']","['arjun', 'viru']",,,,,,,,,,,,,DAY,EXT
73,PCA / GROUND,"EXT. PCA / GROUND - DAY
73
Practice matches; Arjun shines in the matches.
",['arjun'],['arjun'],['arjun'],,,,,,,,,,,,,DAY,EXT
74,ARJUN HOUSE,"INT. ARJUN HOUSE - NIGHT
74
Vidhya and Kittu are lying in the bedroom. Kittu is doing his 
home work on the bed, Vidhya is reading a book. They hear 
Arjun’s bike sound and both get equally excited to go and see 
him, Vidhya controls herself from showing the excitement, but 
Kittu jumps from the bed to go see Arjun.
Arjun walks inside the house, brings a scissor, new grip and 
bat, walks inside the room, and starts working under light.
Vidhya comes to the door, with her shadow, Kittu stands next 
to Vidhya, Arjun looks back,
VIDHYA
Khana lagaun?
ARJUN
Abhi bhook nahi hai. Thodi der 
mein.
Vidhya stares for a brief moment, hesitant to say anything 
more, leaves.
Arjun still working on his bat, holds a long string with his 
mouth and tries to reach for the scissors, just then Kittu, 
holds the scissors and helps him cut it, Arjun smiles at him,
Kittu too with a smile, pulls a chair, sits next to him and 
starts talking in a very casual way.
KITTU
Papa ek baat bolun? Maine bola tha 
na ki coach sir ne Sukhi ko captain 
bana diya... kyunki uske paas 
Indian Jersey thi... wo ab captain 
nahi hai papa. 
Arjun looks at Kittu……
99.
FOR AD TEAM
100.
KITTU (CONT'D)
Jersey pehn-ne se koi captain thodi 
na ban jaata hai. Hai na papa.
Arjun gets back to his work, Kittu continues speaking 
casually.
KITTU (CONT'D)
Mujhe wo Indian jersey nahi chahiye 
papa
Arjun interrupts,
ARJUN
Mankeerat
KITTU
Kya?
ARJUN
Jersey Mankeerat ke paas thi... 
Sukhi nahi.
Total silence from Kittu, as he is caught lying. Arjun still 
continuing with his work.
KITTU
Sorry papa
Arjun holds his son, and says
ARJUN
sshhh...shhhh...
Arjun consoles Kittu
ARJUN (CONT'D)
Aur sun, Mumma aur mera na theek ho 
jayega... teri wajeh se kuchh nahin 
hua kaake. 
He kisses Kittu on the forehead. A little while later, Arjun 
and Kittu have fallen asleep on the chair. 
CUT TO:
","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']",,,,,,,,,,,,,NIGHT,INT
75,PCA / GROUND,"EXT. PCA / GROUND - NIGHT
75
Top angle shot of all 35 players sitting on the ground while 
Mahesh stands addressing them.
100.
FOR AD TEAM
101.
MAHESH
So boys... 1 maheene ki practice 
khatam hui. Tomorrow we will 
announce the top 15. Kuchh ka 
selection hoga, kuchh ka nahin 
lekin I want to congratulate all of 
you for a fantastic job. All the 
best.
Everyone disperses.
",['mahesh'],['mahesh'],['mahesh'],,,,,,,,,,,,,NIGHT,EXT
76,PCA / PARKING,"EXT. PCA / PARKING - NIGHT
76
(OMITTED) Vidhya’s father tells Arjun that he's chasing a 
useless dream
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,NIGHT,EXT
77A,VANTAGE POINT,"EXT. VANTAGE POINT - DAY
77A
Arjun sitting in a lonely place, next to a mobile tea vendor, 
Totally lost, Bali comes on his bike, parks next to him, sits 
next to Arjun.
Moment of silence between them, Bali takes out the cigarette 
in his mouth and offers one to Arjun.
Arjun says a no,
BALI
Shaam ko result announcement honi 
hai. Tension haegi?
Arjun looks at Bali
ARJUN
Aapko?
Bali lights his cigarette ,
BALI
Thodi jehi. Jyada nai.
Bali tries to put a confident face, to assure that and he 
takes a puff,
ARJUN
Aes vaari nai hua toh tension na 
lena sir. Bharosa rakho... hum phir 
try karenge.
101.
FOR AD TEAM
102.
BALI
Bharosa... (smiles) mera apna koi 
beta hota na, toh uspe bhi itna 
nahin hona tha, jitna mainu tujhpe 
bharosa hai kaake.
Arjun grabs Bali sir’s shoulder and brings him close, Bali 
throws his cigarette, wipes his face and says…
BALI (CONT'D)
Ab pehle jaisi tension li nai jaati 
mujhse... Shaam ko aa nahi 
paunga... result dekh ke tu hi aa 
jaana ghar. Khamba kholenge! 
Bali gets towards his bike, and starts it,
BALI (CONT'D)
Ik gall yaad rakhna puttar. Shaam 
ko jo bhi ho, I will always be 
proud of you. Apne poore career 
mein tujhse behtar batsman maine 
nai dekha. That includes the 
present Indian cricket team! 
Arjun smiles and Bali rides off.
","['arjun', 'bali']","['arjun', 'bali']","['arjun', 'bali']",,,,,,,,,,,,,DAY,EXT
77B,CHANDIGARH/GURUDWARA,"EXT. CHANDIGARH/GURUDWARA - DAY
77B
Sound of a prayer coming from a Gurudwara. We see a few 
people praying and then reveal Bali Sir praying for Arjun.
","['arjun', 'bali']","['arjun', 'bali']","['arjun', 'bali']",,,,,,,,,,,,,DAY,EXT
78,PCA / LOBBY,"EXT. PCA / LOBBY - EVENING
78
Arjun is walking to the stadium corridor, where the results 
of the selected final 15 are going to be put up. As he walks 
& is nearing, we hear chatter of various players talking. He 
enters the corridor and all the players are waiting for the 
final 15 too. Some with their friends, some with their dad or 
uncle etc. Some players in a group of three. Arjun stops 
looking at them and moves to the side of the corridor to 
wait, alone. 
VIRU
Ye toh formality hai... list kya 
dekhni... mera naam te hona hi hai. 
The door opens and a peon enters the corridor with a list in 
his hands. Everyone is suddenly attentive and stops talking. 
He takes some glue, applies it on the notice board and hits 
it hard twice and goes away. Suddenly everyone rushes to the 
notice board except Arjun. We hear some loud ""woo hoo"" and 
some loud disappointments too. Arjun is looking at them all. 
102.
FOR AD TEAM
103.
One guy who is visibly disappointed leaves the group and 
starts to leave. He looks at Arjun on his way out. We don't 
understand the look.
Three people who have been selected and are a group, leave 
without looking at Arjun. The crowd near the notice board is 
clearing. As Arjun starts walking towards the board, One more 
guy, who is in a group of three and is selected, looks at 
Arjun briefly while talking to friends and smiles at him. 
Arjun smiles back formally. He goes to the notice board and 
from the POV of the list drags his finger down to see if his 
name is there. From his suggestion we see his finger drag 
down the list and it passes his own name and goes down, stops 
and comes back up to his name on the list. He is no. 12. We 
see his reaction. Everything stops for a moment - the 
background noises etc. He leaves the space and we follow him. 
Someone congratulates him and Arjun just says thanks and 
leaves. He is not able to control what is happening within 
him.
","['arjun', 'viru']","['arjun', 'viru']","['arjun', 'viru']",,,,,,,,,,,,,EVENING,EXT
79,PCA / PARKING,"EXT. PCA / PARKING - NIGHT
79
Arjun goes to his bike. He tries to put the key in but his 
hands are trembling. He puts it and somehow starts the bike 
and starts riding. 
",['arjun'],['arjun'],['arjun'],,,,,,,,,,,,,NIGHT,EXT
80,CHANDIGARH / ROADS,"EXT. CHANDIGARH / ROADS - NIGHT
80
He is really stopping himself from a tear that is coming out 
of his eye. After driving a bit amongst crowded city roads,
",[],[],[],,,,,,,,,,,,,NIGHT,EXT
81,RAILWAY STATION,"I/E. RAILWAY STATION - NIGHT
81
He reaches a bridge and starts to get down the bridge, we see 
a train approaching at the same time in the background. He 
gets down and within 5 seconds, the train passes by him. He 
is alone. He shouts at the top of his voice. It is clearly a 
voice of celebration. He lets it all go. His shout of joy 
continues till the train passes. With an elevated background 
music he walks from there.
",[],[],[],,,,,,,,,,,,,NIGHT,I/E
82,BALI HOUSE,"INT. BALI HOUSE - NIGHT
82
Bali sitting in the hall with his wife, who is weaving a 
sweater.
There is a table in-front of him which has an old monk 
bottle, two glasses and a water bottle.
103.
FOR AD TEAM
104.
Bali constantly looks towards the door, his wife notices 
that, and asks him what happened, Bali shakes his head as 
nothing.
Bali hears a knock on the door, runs towards the door, opens 
it to find Arjun, who is not smiling. Bali looks disappointed 
as he looks at Arjun and, immediately Arjun starts smiling as 
a surprise and both of them hug, high on emotions.
","['arjun', 'bali']","['arjun', 'bali']","['arjun', 'bali']",,,,,,,,,,,,,NIGHT,INT
83A,PCB CONFERENCE HALL/MOHALI,"INT. PCB CONFERENCE HALL/MOHALI - DAY
83A
(Real & Script location : Mohali)
- Administration formalities, where Arjun with other team 
members sign documents. 
- Mahesh congratulates the players. 
MAHESH
Ravinder... wish you and your team 
all the very best! 
Locker rooms and Kits get allocated to all players. Ratti 
83AA
shakes hands with players. Arjun checks his new cricket gear.
","['arjun', 'ratti', 'mahesh']","['arjun', 'ratti', 'mahesh']","['arjun', 'ratti', 'mahesh']",,,,,,,,,,,,,DAY,INT
83B,MOHALI STADIUM / PCB LOCKER ROOM,"INT. MOHALI STADIUM / PCB LOCKER ROOM - DAY
83B
(Real & Script location : Mohali)
- Arjun and other players enter the dressing room. He sees 
his name on the wall.
",['arjun'],['arjun'],['arjun'],,,,,,,,,,,,,DAY,INT
83C,ARJUN HOUSE / HALL,"INT. ARJUN HOUSE / HALL - NIGHT
83C
- Arjun comes home with the kit and documents, hands over the 
contract to Vidhya. A dejected Vidhya walks away. 
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,NIGHT,INT
83D,PCA / PARKING,"EXT. PCA / PARKING - DAY
83D
- There is a team bus, where all the team members are 
travelling to Himachal Pradesh for a match. Arjun sits alone 
in the last seat, looking outside the window. Vidhya and 
Kittu come in a rikshaw. Bali sir picks up Kittu and he gives 
a hi-five to Arjun
KITTU
Bye papa... all the best!! 
No words exchanged between Arjun & Vidhya.
104.
FOR AD TEAM
105.
","['vidhya', 'kittu', 'arjun', 'bali']","['vidhya', 'kittu', 'arjun', 'bali']","['vidhya', 'kittu', 'arjun', 'bali']",,,,,,,,,,,,,DAY,EXT
83E,TEAM BUS,"INT. TEAM BUS - DAY
83E
Arjun and other teammates along with Mahesh, Ratti and Bali 
sir are on their way to Mandi. Arjun is in a pensive mood. 
","['arjun', 'bali', 'ratti', 'mahesh']","['arjun', 'bali', 'ratti', 'mahesh']","['arjun', 'bali', 'ratti', 'mahesh']",,,,,,,,,,,,,DAY,INT
84,HIMACHAL / CRICKET GROUND,"EXT. HIMACHAL / CRICKET GROUND - DAY
84
RANJI TROPHY ZONAL MATCH #1: HIMACHAL PRADESH Vs PUNJAB (DAY 
1)
(Script location: Paddal Stadium, Mandi
& Real location : Kasiga ground, Mussoorie)
- FIELD: Aerial shot of ground, Text on screen: Punjab Vs 
Himachal Pradesh, Mandi.
- SCOREBOARD: Punjab 78/2
",[],[],[],,,,,,,,,,,,,DAY,EXT
84A,HIMACHAL / PUNJAB DUGOUT,"EXT. HIMACHAL / PUNJAB DUGOUT - DAY
84A
- Score card, close of paper in Ratti’s hand book,
- PUNJAB TEAM ROOM: Mahesh and Ratti sitting with some other 
players in the background. Mahesh is watching the game while 
Ratti just marks something in the book and looks at the 
match.
","['ratti', 'mahesh']","['ratti', 'mahesh']","['ratti', 'mahesh']",,,,,,,,,,,,,DAY,EXT
84B,HIMACHAL / COMMNETARY BOX,"INT. HIMACHAL / COMMNETARY BOX - DAY
84B
We see two commentators talking. It is Punjab vs Himachal 
Pradesh.
COMMENTATOR 4
Punjab ka pehle ballebaazi karne ka 
faisla ulta pad gaya shayad.
COMMENTATOR 3
Bilkul... Ball kaafi swing kar rahi 
hai aaj. They are already 78 for 2. 
Abhi din chadha hi hai aur Virender 
aur Pratap wapis pavillion laut 
chuke hain. 
COMMENTATOR 4
Rawat ka zabardast spell raha aaj. 
Here comes the next ball and just 
missed. 
105.
FOR AD TEAM
106.
",[],[],[],,,,,,,,,,,,,DAY,INT
84C,HIMACHAL / GROUND,"EXT. HIMACHAL / GROUND - DAY
84C
PLAY 1
Rawat comes to bowl. 
Ravinder misses the ball.
Harpal reacts to the close call.
PLAY 2 
- Ravinder takes stance for the next delivery
- Himachal bowler, Rawat, bowls a full-length delivery.
- Ravinder is the batsman who tries to play a cover drive but 
the ball swings away from the bat and goes to the keeper.
- Rawat has an expression of “oh I just missed the wicket” 
and the Wicket Keeper, Madhav Bhardwaj, says “ooooo..good 
ball, good ball”.
- The Himachal captain, claps for the ball.
- Keeper, Madhav Bhardwaj, takes a few steps forward and says 
to the bowler.
WICKET KEEPER
(to the bowler)
Same ball oye... gaya ye! 
PLAY 3
- Rawat, comes to bowl.
COMMENTATOR 3
Punjab ke captain Ravinder ko 
mushkilein aa rahi hain iss swing 
se. Thats an appeal for caught 
behind and the finger goes up!
- Ravinder plays another cover drive and this time the ball 
nicks the bat and the keeper dives for a catch and gets up 
from the ground to celebrate.
- Rawat and Madhav Bhardwaj are hi-fiving etc. (Ravinder 
could be seen walking back in the same frame as above.)
106.
FOR AD TEAM
107.
",[],[],[],,,,,,,,,,,,,DAY,EXT
84A.1,HIMACHAL / PUNJAB DUGOUT,"EXT. HIMACHAL / PUNJAB DUGOUT - DAY
84A.1
- PUNJAB TEAM DUGOUT: Mahesh looks disappointed. He looks at 
Dheeraj Bhasin who is padded and Arjun who is sitting next to 
him. Dheeraj is already wearing his gloves. Mahesh thinks for 
a beat and says
MAHESH
Arjun, pad up... you are going in 
n","['arjun', 'mahesh']","['arjun', 'mahesh']","['arjun', 'mahesh']",,,,,,,,,,,,,DAY,EXT
84C.1,HIMACHAL / GROUND,"EXT. HIMACHAL / GROUND - DAY
84C.1
FIELD: Arjun walks past Ravinder.
RAVINDER
Arjun... defend kariyo. Ball swing 
ho rahi hai attack na karna. 
As he walks, we follow him from behind, we see him wear the 
gloves etc. He has entered the ground.
",['arjun'],['arjun'],['arjun'],,,,,,,,,,,,,DAY,EXT
84B.2,HIMACHAL / COMMNETARY BOX,"INT. HIMACHAL / COMMNETARY BOX - DAY
84B.2
COMMENTATOR 4
Dheeraj is the new batsman... oh 
wait.
COMMENTATOR 3
Punjab ke batting order mein 
badlaav. 
107.
FOR AD TEAM
108.
",[],[],[],,,,,,,,,,,,,DAY,INT
84C.2,HIMACHAL / GROUND,"EXT. HIMACHAL / GROUND - DAY
84C.2
PLAY 4
Arjun walks to the batsman at the crease, Harpal
HARPAL
Rawat ka over nikaal de Arjun bas.
Arjun takes stance.
",['arjun'],['arjun'],['arjun'],,,,,,,,,,,,,DAY,EXT
84C.3,HIMACHAL / GROUND,"EXT. HIMACHAL / GROUND - DAY
84C.3
Arjun takes guard & looks around.
Rawat comes in to bowl
Arjun hits over long on.
Ball is in the air.
Rawat reacts to the ball.
Arjun is watching the ball.
Ball crosses the boundary.
",['arjun'],['arjun'],['arjun'],,,,,,,,,,,,,DAY,EXT
84B.3,HIMACHAL / COMMNETARY BOX,"INT. HIMACHAL / COMMNETARY BOX - DAY - CONTINUOUS
84B.3
COMMENTATOR 4
Unorthodox indeed. Ek 4 day ranji 
match mein kaun pehli hi gend ko 
boundary ke paar maarta hai?
COMMENTATOR 3
Well Maninder... thats Arjun... he 
was the highest run scorer in 1985-
86 ranji series.
",['arjun'],['arjun'],['arjun'],,,,,,,,,,,,,DAY,INT
84B.4,HIMACHAL / COMMNETARY BOX,"INT. HIMACHAL / COMMNETARY BOX - DAY
84B.4
COMMENTATOR 4
Here comes Rawat again aur ye ball 
phir hawa mein... its a six again! 
COMMENTATOR 3
Can he get a hat-trick?
COMMENTATOR 4
Well... Rawat ki koshish hogi rokne 
ki.
",[],[],[],,,,,,,,,,,,,DAY,INT
84B.5,HIMACHAL / COMMNETARY BOX,"INT. HIMACHAL / COMMNETARY BOX - DAY
84B.5
COMMENTATOR 3
Here comes Rawat again and Arjun 
goes again... down the wicket and 
straight over the bowler for a six!
","['ketan', 'arjun']","['ketan', 'arjun']","['ketan', 'arjun']",,,,,,,,,,,,,DAY,INT
84C.12,HIMACHAL / CRICKET GROUND,"EXT. HIMACHAL / CRICKET GROUND - DAY
84C.12
RANJI TROPHY ZONAL MATCH #1 : HIMACHAL PRADESH Vs PUNJAB (DAY 
2)
(Script location : Paddal Stadium, Mandi
Real location : Kasiga ground)
Establishing Shot of the Ground.
PLAY 24
Rawat comes in to bowl.
Arjun hits a cut shot.
Fileder chases the ball as it crosses the boundary.
PLAY 25
Arjun hits a backfoot drive.
PLAY 26
Abhimanyu comes running to bowl.
Arjun hits a pull shot.
Ball crosses the boundary
- Umpire signals four runs.
- Pawan Thakur reacts.
- Siddharth Saluja looks confused and almost given up
117.
FOR AD TEAM
118.
- So does the bowler Pawan Thakur who isn’t understanding how 
to bowl.
PLAY 27
Pawan bowls an another ball.
Arjun hits a cut shot for 4.
Ishaan bowls the ball.
Arjun hits a pull shot for 6.
Manu Acharya bowls the ball.
Arjun hits a straight drive for a 6.
Bowler reacts.
Fielder tries to judge the catch but it goes over his head 
for a 6.
",['arjun'],['arjun'],['arjun'],,,,,,,,,,,,,DAY,EXT
85,ARJUN HOUSE,"I/E. ARJUN HOUSE - DAY
85
Kittu runs with a newspaper from the neighboring house.
Vidhya is getting ready in front of the mirror. Kittu runs in 
with a news paper. He is shouting ""Amma!"". Kittu puts the 
paper in front of Vidhya.
KITTU
Amma amma dekho... Papa ki photo 
paper mein aayi
VIDHYA
Kittu... late ho raha hai mujhe.
There is a black and white, grainy photo of Arjun lifting his 
bat after double century. HEADLINE: ‘Arjun’s Double Ton Helps 
Punjab Win’
KITTU
Amma... dekho toh please... padho 
na kya likha hai...
VIDHYA
In an unexpected result, Punjab 
batsman Arjun makes Punjab win. 
Punjab was 78/3 and were headed for 
a huge loss but man of the match 
Arjun, changed things for them.
RISE OF PUNJAB MONTAGE
","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']",,,,,,,,,,,,,DAY,I/E
86,HARYANA / CRICKET GROUND,"EXT. HARYANA / CRICKET GROUND - DAY
86
RANJI TROPHY ZONAL MATCH #2 HARYANA Vs PUNJAB
(Script location : Dronacharya stadium, Gurgaon; 
 Real location : Barwala ground, Chandigarh)
- Aerial shot of ground, Text on screen: PUNJAB Vs HARYANA, 
Gurgaon
- We see a wide shot of buildings and as we pan down to 
reveal the cricket ground, we hear the sounds of a cricket 
match.
- FIELD: Arjun hits an off drive between cover and mid-off. 
The ball rushes to the boundary as a fielder is chasing it.
- Arjun and Dheeraj punch gloves.
- STADIUM STANDS: Ravinder, Anuj, Raunaq and Nihar are seated 
and clapping from the team dugout. Bali sir cheers for Arjun.
121.
FOR AD TEAM
122.
- FIELD (PUNJAB BOWLING): Gagan bowls to the Haryana batsman 
Karan Tanwar and the ball hits the wicket. Gagan runs around 
to dance his trademark step and jumps on other Punjab 
players.
- FIELD: (Punjab batting) Arjun hits a six to win the match, 
players run towards him from the dugout and they walk out of 
the ground in a celebratory mood. 
","['arjun', 'bali']","['arjun', 'bali']","['arjun', 'bali']",,,,,,,,,,,,,DAY,EXT
87,PCA / PRACTICE NETS,"EXT. PCA / PRACTICE NETS - DAY
87
- FIELD: Arjun and Nihar after a practice session. Arjun is 
giving Nihar some bowling tips.  
",['arjun'],['arjun'],['arjun'],,,,,,,,,,,,,DAY,EXT
88,PCA / GROUND,"EXT. PCA / GROUND - DAY
88
RANJI TROPHY ZONAL MATCH #3 PUNJAB Vs JAMMU & KASHMIR.
- FIELD: Nihar bowls a yorker and dismisses the Batsman, team 
celebrates. 
",[],[],[],,,,,,,,,,,,,DAY,EXT
89,PCA / GROUND,"EXT. PCA / GROUND - DAY
89
RANJI TROPHY ZONAL MATCH #4 PUNJAB Vs DELHI
- FIELD: Rudra bowls, the batsman nicks the ball & it goes 
towards the slip. Fielder catches the ball & the team 
celebrates. 
- Bowler (Rudra) bowls another ball which is edged, Arjun 
catches the ball in the slips, team celebrates. 
",['arjun'],['arjun'],['arjun'],,,,,,,,,,,,,DAY,EXT
90,MARKET TEA STALL,"EXT. MARKET TEA STALL - DAY
90
AMRIT and friends are at the Hangout Place when the radio 
host says 
RADIO HOST
(v.o.)
Ab khel samachar  
AMRIT
Oh sound tej kar! / volume badha! 
RADIO HOST 
Punjab team ne Services ko 4 
wickets se maat di. Teh Doosri 
paari-ich... behtareen ballebaazi 
karte hue, punjab de tajarbedaar 
batsman 
122.
FOR AD TEAM
123.
Amrit asks the volume to be turned up and the hear about 
Punjab win against Services and that Punjab is going to the 
next round of league matches and Arjun was the man of the 
match.
","['arjun', 'amrit']","['arjun', 'amrit']","['arjun', 'amrit']",,,,,,,,,,,,,DAY,EXT
91,NEIGHBOURS HOUSE,"EXT. NEIGHBOURS HOUSE - DAY
91
Everybody is gathered around a radio listening to the news. 
REPORTER
(on the radio)
Arjun Talwar ne 154 runs banaye 
jiske ke liye unhein man of the 
match ghoshit kiya gaya
KID 1
(to Kittu)
Kittu tere papa ka naam aaya...
Kittu celebrates. 
","['kittu', 'arjun']","['kittu', 'arjun']","['kittu', 'arjun']",,,,,,,,,,,,,DAY,EXT
92,DELHI HIGHWAY / DHABA / PCO,"EXT. DELHI HIGHWAY / DHABA / PCO - DAY
92
Mahesh congratulates the team members. 
MAHESH
Congratulations Boys! Hum League 
stage mein enter kar chuke hain!  
Players cheer. 
MAHESH (CONT'D)
Asli tournament toh ab shuru hoga!  
Players cheer again. Bali sir feels proud.
","['bali', 'mahesh']","['bali', 'mahesh']","['bali', 'mahesh']",,,,,,,,,,,,,DAY,EXT
93,DELHI / CRICKET GROUND,"EXT. DELHI / CRICKET GROUND - EVENING
93
(Script location : Airforce station ground, Palam 
Real location : Tau Devilal stadium)
Gagan and Raunaq appear from behind with a water-pipe, having 
fun spraying water on each other. Arjun and other team 
members Ravinder, Rudra, Raunaq and a few others are laughing 
looking at this.
",['arjun'],['arjun'],['arjun'],,,,,,,,,,,,,EVENING,EXT
94,KERALA (KOZHIKODE) / RAILWAY STATION,"EXT. KERALA (KOZHIKODE) / RAILWAY STATION - NIGHT
94
(Script location : Kozhikode, Kerala 
Real location : TBD)
123.
FOR AD TEAM
Blue Rev. (mm/dd/yy)
124.
The team is waiting on the platform, Arjun notices a woman 
hugging her son on the bench nearby. 
",['arjun'],['arjun'],['arjun'],,,,,,,,,,,,,NIGHT,EXT
95,PALAM DELHI/ PCB TEAM ROOM,"INT. PALAM DELHI/ PCB TEAM ROOM - DAY
95
(Script location : Airforce station ground, Palam 
Real location :New Chandigarh Stadium)
A time lapse of Mahesh and Ratti in front of a tally board 
with North league zone team names – ‘1. Delhi; 2. Haryana; 3. 
Punjab; 4. Railways; 5. Uttar Pradesh’ with respective points 
on it. Punjab moves to No. 3 after the match with Railways. 
Bali sir moves the tally board.
 then No. 1 position after the next match with Delhi. Bali 
sir shifts the Punjab name-board to the top of the board. 
MAHESH
Well done boys! 
Arjun looks at his teammates and feels proud. 
","['arjun', 'bali', 'ratti', 'mahesh']","['arjun', 'bali', 'ratti', 'mahesh']","['arjun', 'bali', 'ratti', 'mahesh']",,,,,,,,,,,,,DAY,INT
95A,TEAM BUS,"INT. TEAM BUS - DAY
95A
The rest of the players are sitting, talking amongst 
themselves. Mahesh, Ratti and Bali sir are sitting ahead 
discussing something. Arjun is lost in thoughts while he 
juggles with a cricket ball in his hand. 
","['arjun', 'bali', 'ratti', 'mahesh']","['arjun', 'bali', 'ratti', 'mahesh']","['arjun', 'bali', 'ratti', 'mahesh']",,,,,,,,,,,,,DAY,INT
96A,5 STAR HOTEL / RECEPTION,"INT. 5 STAR HOTEL / RECEPTION - DAY
96A
*
Vidhya is working at the desk, the phone next to Vidhya rings *
and she answers
*
VIDHYA
*
Hello Hotel Mountview, How may I 
*
help you..
*
There’s silence on the phone from the other end, Vidhya 
*
realizes it might be Arjun, she disconnects the call. 
*
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,DAY,INT
96B,DELHI / PUBLIC CALLING BOOTH,"I/E. DELHI / PUBLIC CALLING BOOTH - DAY
96B
*
Arjun calls Vidhya from the PCO, he doesn’t say anything, 
Vidhya keeps saying hello, hello.  
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,DAY,I/E
